Tree number,m1,m2,Average
1,7.37,7.21,72.9
2,8.76,8.66,87.1
3,7.39,7.34,73.65
4,6.73,6.76,67.45
5,8.05,7.82,79.35
6,7.21,7.14,71.75
7,5.87,6.1,59.85
8,8.26,8.36,83.1
9,8.05,8,80.25
10,5.64,5.84,57.4
11,7.14,7.21,71.75
12,6.65,6.55,66
13,6.32,6.43,63.75
14,5.23,5.28,52.55
15,4.67,4.78,47.25
16,6.38,6.63,65.05
17,6.17,6.22,61.95
18,7.47,7.44,74.55
19,7.06,7.01,70.35
20,6.27,6.38,63.25
21,5.84,5.36,56
22,6.45,6.22,63.35
23,6.99,7.01,70
24,6.27,6.2,62.35
25,7.62,7.47,75.45
26,7.34,7.42,73.8
27,5.46,5.41,54.35
28,6.48,6.71,65.95
29,6.35,6.63,64.9
30,6.38,6.5,64.4
31,5.31,5.18,52.45
32,6.81,7.04,69.25
33,4.37,4.22,42.95
34,6.27,6.22,62.45
35,5.51,5.56,55.35
36,7.14,7.14,71.4
37,6.5,6.5,65
38,6.96,6.99,69.75
39,7.11,7.09,71
40,6.02,5.94,59.8
41,6.43,6.58,65.05
42,5.31,5.26,52.85
43,7.52,7.39,74.55
44,6.73,6.73,67.3
45,7.75,7.75,77.5
46,7.67,7.57,76.2
47,7.09,7.14,71.15
48,7.62,7.42,75.2
49,4.32,4.17,42.45
50,6.02,6.25,61.35
51,7.19,7.21,72
52,6.63,6.73,66.8
53,5.18,5.26,52.2
54,7.7,7.75,77.25
55,7.42,7.57,74.95
56,7.29,7.7,74.95
57,7.52,7.29,74.05
58,7.87,7.98,79.25
59,6.71,6.78,67.45
60,6.5,6.48,64.9
61,6.81,6.96,68.85
62,7.29,7.39,73.4
63,8.71,8.84,87.75
64,6.43,6.65,65.4
65,3.96,4.32,41.4
66,6.45,6.48,64.65
67,6.58,6.48,65.3
68,6.45,6.45,64.5
69,6.78,7.01,68.95
70,5.89,5.89,58.9
71,8.41,8.08,82.45
72,6.71,6.73,67.2
73,7.09,7.14,71.15
74,7.32,7.37,73.45
75,7.06,4.98,60.2
